symbol,end_val,winner,trades,cagr,median,average,max_drawdown,running_max,version
CINF,"$1,796,494",Benchmark,115.6,18.23%,"$215,322","$381,918",-52.01%,"$1,965,356",V2
CTAS,"$3,818,509",Benchmark,86.7,23.65%,"$170,703","$440,490",-74.42%,"$4,337,520",V2
CSCO,"$263,432",Benchmark,119.0,14.6%,"$247,929","$274,485",-90.53%,"$1,507,088",V2
C,"$146,424",Strategy,135.0,8.47%,"$54,429","$63,782",-83.73%,"$196,459",V2
CFG,"$6,890",Benchmark,146.6,-5.18%,"$8,611","$8,231",-58.75%,"$11,326",V2
CLX,"$607,977",Benchmark,113.0,12.09%,"$149,061","$203,194",-65.96%,"$927,921",V2
CME,"$266,584",Benchmark,88.6,24.47%,"$49,763","$73,661",-80.22%,"$266,584",V2
CMS,"$44,205",Benchmark,130.5,4.21%,"$12,936","$19,260",-80.35%,"$75,247",V2
CTSH,"$858,436",Benchmark,136.1,28.06%,"$640,171","$570,891",-61.9%,"$1,252,248",V2
CL,"$976,291",Benchmark,111.1,13.98%,"$340,584","$389,168",-58.57%,"$1,188,290",V2
CMCSA,"$263,306",Benchmark,127.1,11.13%,"$88,742","$118,484",-67.71%,"$403,651",V2
CAG,"$176,502",Benchmark,113.3,9.7%,"$70,774","$89,435",-55.37%,"$247,085",V2
ED,"$4,109,538",Benchmark,103.9,15.02%,"$387,917","$1,057,837",-36.56%,"$4,952,744",V2
STZ,"$271,589",Benchmark,119.9,16.19%,"$65,237","$140,615",-66.13%,"$432,504",V2
CEG,"$15,243",Benchmark,48.0,23.47%,"$12,130","$14,355",-44.65%,"$27,540",V2
COO,"$11,206",Benchmark,140.1,0.39%,"$7,109","$7,565",-99.17%,"$22,370",V2
CPRT,"$1,917,835",Benchmark,100.8,28.44%,"$100,857","$342,036",-56.03%,"$2,160,273",V2
GLW,"$88,034",Benchmark,138.7,7.79%,"$55,551","$63,665",-96.23%,"$401,654",V2
CPAY,"$114,405",Benchmark,122.7,31.1%,"$60,149","$59,740",-49.71%,"$140,286",V2
CTVA,"$14,993",Benchmark,96.2,10.66%,"$12,720","$12,117",-33.8%,"$16,133",V2
CSGP,"$76,168",Benchmark,130.6,11.94%,"$15,824","$40,530",-65.49%,"$161,656",V2
CTRA,"$34,693",Benchmark,149.0,5.32%,"$22,331","$26,417",-81.85%,"$102,973",V2
CRWD,"$45,711",Benchmark,123.2,46.22%,"$26,776","$29,697",-61.38%,"$59,815",V2
CSX,"$479,833",Benchmark,116.2,13.77%,"$30,082","$129,761",-58.67%,"$717,367",V2
CMI,"$246,390",Benchmark,148.6,9.31%,"$35,328","$84,158",-77.4%,"$320,527",V2
CVS,"$466,130",Benchmark,134.2,11.26%,"$124,811","$172,088",-72.8%,"$535,170",V2
DHR,"$554,612",Benchmark,94.2,13.83%,"$34,830","$101,700",-83.93%,"$689,523",V2
DRI,"$544,466",Strategy,108.5,22.12%,"$85,148","$135,696",-43.55%,"$568,585",V2
DVA,"$34,755",Benchmark,125.7,6.43%,"$16,864","$17,559",-90.45%,"$37,090",V2
DAY,"$14,142",Strategy,152.2,9.05%,"$18,174","$17,736",-53.42%,"$26,730",V2
DECK,"$225,354",Benchmark,132.3,15.99%,"$10,662","$35,534",-97.73%,"$382,912",V2
DELL,"$58,536",Strategy,134.8,42.39%,"$19,367","$26,898",-44.95%,"$98,662",V2
DAL,"$9,823",Benchmark,140.5,-0.15%,"$14,800","$14,971",-73.6%,"$31,928",V2
DVN,"$749,797",Strategy,157.2,17.34%,"$145,429","$200,362",-73.45%,"$1,066,111",V2
DXCM,"$238,025",Strategy,146.9,27.61%,"$67,436","$148,481",-69.86%,"$776,525",V2
FANG,"$61,002",Strategy,133.8,25.36%,"$15,506","$30,871",-71.31%,"$97,065",V2
DLR,"$40,338",Benchmark,103.6,10.48%,"$26,900","$30,108",-59.0%,"$57,757",V2
DFS,"$102,284",Benchmark,120.8,21.38%,"$40,503","$43,424",-48.93%,"$124,872",V2
DG,"$21,056",Benchmark,105.2,7.73%,"$21,784","$26,026",-63.57%,"$53,560",V2
DLTR,"$48,513",Benchmark,139.1,8.22%,"$39,363","$39,904",-82.5%,"$92,455",V2
D,"$370,149",Benchmark,79.5,12.36%,"$179,401","$245,319",-65.95%,"$826,566",V2
DPZ,"$273,522",Benchmark,101.9,26.66%,"$96,908","$116,515",-64.13%,"$315,261",V2
DASH,"$6,460",Benchmark,159.0,-19.62%,"$4,392","$4,757",-80.62%,"$11,400",V2
DOV,"$198,978",Benchmark,108.4,10.13%,"$36,968","$49,322",-65.71%,"$251,719",V2
DOW,"$4,616",Benchmark,147.0,-17.57%,"$7,507","$7,606",-54.76%,"$10,204",V2
DHI,"$281,126",Benchmark,135.7,16.37%,"$63,017","$82,066",-84.47%,"$425,681",V2
DTE,"$2,939,622",Benchmark,113.9,14.13%,"$246,823","$421,609",-50.12%,"$2,939,623",V2
DD,"$521,423",Benchmark,134.1,11.61%,"$148,017","$186,009",-72.2%,"$632,646",V2
EMN,"$95,871",Strategy,136.6,11.36%,"$15,236","$34,854",-63.41%,"$141,552",V2
ETN,"$459,320",Benchmark,115.3,11.22%,"$44,402","$87,679",-56.54%,"$643,339",V2
EBAY,"$44,095",Benchmark,132.6,8.59%,"$13,749","$15,739",-78.13%,"$46,918",V2
ECL,"$332,874",Benchmark,110.0,10.23%,"$39,858","$76,527",-60.77%,"$357,990",V2
EIX,"$134,624",Benchmark,93.5,7.71%,"$105,730","$107,189",-91.11%,"$316,272",V2
EW,"$246,273",Benchmark,112.4,20.74%,"$59,373","$146,327",-56.66%,"$541,410",V2
EA,"$20,590",Benchmark,135.7,3.06%,"$20,089","$20,659",-96.48%,"$76,650",V2
ELV,"$79,263",Benchmark,115.5,13.81%,"$32,858","$40,756",-50.7%,"$98,568",V2
EMR,"$424,098",Benchmark,111.5,10.97%,"$118,817","$147,347",-65.86%,"$556,758",V2
ENPH,"$125,439",Benchmark,187.2,37.18%,"$12,767","$64,898",-88.2%,"$259,081",V2
ETR,"$2,610,363",Benchmark,107.9,16.72%,"$224,871","$432,576",-61.2%,"$2,697,211",V2
EPAM,"$131,733",Strategy,104.0,33.17%,"$46,320","$109,454",-68.24%,"$414,756",V2
EQT,"$125,989",Benchmark,125.6,8.52%,"$77,313","$114,651",-92.27%,"$435,138",V2
EFX,"$1,247,140",Benchmark,105.3,16.85%,"$200,322","$341,322",-67.0%,"$1,676,775",V2
EQR,"$31,258",Benchmark,118.0,5.58%,"$26,517","$27,770",-85.12%,"$55,341",V2
ERIE,"$111,232",Benchmark,125.1,12.8%,"$21,865","$30,250",-58.7%,"$144,120",V2
ESS,"$89,805",Benchmark,88.0,11.02%,"$74,573","$73,747",-79.72%,"$158,951",V2
EL,"$21,593",Benchmark,129.9,3.92%,"$16,207","$25,740",-84.56%,"$123,216",V2
EG,"$70,483",Benchmark,113.7,10.26%,"$26,826","$33,903",-51.11%,"$78,983",V2
EVRG,"$873,400",Strategy,126.5,13.22%,"$42,264","$137,366",-51.34%,"$876,177",V2
ES,"$80,215",Benchmark,132.1,5.95%,"$28,921","$44,748",-60.55%,"$183,759",V2
EXE,"$15,854",Benchmark,145.5,25.91%,"$13,593","$13,243",-30.8%,"$16,329",V2
EXPE,"$38,719",Benchmark,144.5,10.98%,"$19,105","$21,348",-69.27%,"$53,619",V2
EXPD,"$798,311",Benchmark,96.0,17.61%,"$299,772","$339,419",-51.71%,"$1,105,900",V2
EXR,"$236,181",Strategy,85.2,25.34%,"$73,232","$84,276",-59.4%,"$289,018",V2
FFIV,"$168,693",Strategy,158.9,18.08%,"$42,220","$50,245",-78.93%,"$208,758",V2
FDS,"$237,877",Benchmark,112.4,18.15%,"$56,605","$93,037",-63.83%,"$321,089",V2
FICO,"$1,243,514",Benchmark,106.9,20.38%,"$44,591","$144,902",-84.16%,"$1,732,551",V2
FAST,"$552,510",Benchmark,107.2,17.41%,"$193,387","$203,989",-67.67%,"$593,984",V2
FRT,"$588,987",Benchmark,108.1,12.35%,"$104,636","$231,935",-80.54%,"$775,016",V2
FDX,"$386,840",Benchmark,140.0,12.1%,"$161,677","$190,524",-66.54%,"$556,420",V2
FIS,"$27,261",Benchmark,115.8,6.47%,"$15,790","$19,715",-66.45%,"$53,230",V2
FITB,"$2,441,673",Strategy,110.3,19.4%,"$628,212","$1,037,329",-78.15%,"$3,914,419",V2
FSLR,"$35,236",Strategy,171.9,11.07%,"$13,075","$15,486",-87.0%,"$53,024",V2
FE,"$36,734",Benchmark,128.7,7.5%,"$16,257","$19,396",-52.82%,"$44,446",V2
FI,"$1,256,620",Benchmark,92.1,20.43%,"$91,087","$239,699",-50.86%,"$1,377,636",V2
F,"$368,306",Benchmark,164.6,10.54%,"$237,063","$259,434",-87.02%,"$1,031,090",V2
FTNT,"$171,406",Benchmark,108.8,32.86%,"$36,006","$75,212",-49.89%,"$253,153",V2
FTV,"$10,520",Benchmark,100.8,0.85%,"$12,283","$12,283",-43.07%,"$15,142",V2
FOXA,"$9,098",Benchmark,137.8,-2.33%,"$6,159","$6,758",-51.07%,"$10,594",V2
FOX,"$15,022",Strategy,140.2,10.71%,"$9,827","$10,683",-42.28%,"$16,917",V2
BEN,"$56,718",Benchmark,131.0,6.39%,"$57,613","$55,602",-93.16%,"$113,833",V2
GRMN,"$1,688,653",Strategy,119.2,37.79%,"$147,704","$332,774",-64.09%,"$2,196,349",V2
IT,"$54,285",Benchmark,112.0,8.39%,"$16,302","$20,176",-96.88%,"$69,572",V2
GE,"$586,373",Benchmark,121.4,9.93%,"$64,724","$135,418",-78.86%,"$662,936",V2
GEHC,"$9,941",Benchmark,83.6,-0.37%,"$11,714","$11,793",-29.62%,"$14,126",V2
GEV,"$6,245",Benchmark,28.7,-49.16%,"$7,486","$7,830",-44.83%,"$11,168",V2
GEN,"$122,217",Benchmark,139.6,10.67%,"$48,371","$50,982",-89.89%,"$148,343",V2
GNRC,"$196,605",Strategy,103.3,33.02%,"$46,526","$107,443",-68.8%,"$468,735",V2
GD,"$16,027,372",Benchmark,122.4,18.43%,"$356,071","$2,441,413",-69.1%,"$20,194,306",V2
GIS,"$983,647",Benchmark,89.5,15.89%,"$243,079","$370,439",-41.07%,"$1,362,174",V2
GM,"$13,787",Benchmark,157.9,3.3%,"$14,115","$14,504",-56.24%,"$22,794",V2
GPC,"$288,328",Benchmark,106.4,11.41%,"$62,395","$114,182",-52.34%,"$567,381",V2
GILD,"$612,919",Benchmark,133.2,19.68%,"$124,875","$192,467",-67.18%,"$635,831",V2
GPN,"$171,494",Strategy,123.4,18.57%,"$36,001","$77,437",-50.55%,"$253,369",V2
GL,"$182,172",Benchmark,118.4,9.9%,"$31,686","$68,685",-71.43%,"$273,461",V2
GDDY,"$35,877",Benchmark,104.2,20.34%,"$19,164","$19,677",-46.8%,"$43,099",V2
HAL,"$505,074",Strategy,153.9,11.34%,"$70,920","$126,468",-83.37%,"$634,046",V2
HIG,"$294,653",Strategy,113.7,18.23%,"$36,404","$60,576",-73.89%,"$298,044",V2
HAS,"$2,747,485",Benchmark,126.6,19.78%,"$507,337","$926,447",-69.81%,"$3,799,136",V2
