symbol,end_val,winner,trades,cagr,median,average,max_drawdown,running_max,
XOM,"$1,240,037",Benchmark,108.2,11.86%,"$334,033","$472,361",-76.91%,"$1,794,942"
FFIV,"$168,693",Strategy,158.9,18.08%,"$42,220","$50,245",-78.93%,"$208,758"
FDS,"$237,877",Benchmark,112.4,18.15%,"$56,605","$93,037",-63.83%,"$321,089"
FICO,"$1,243,514",Benchmark,106.9,20.38%,"$44,591","$144,902",-84.16%,"$1,732,551"
FAST,"$552,510",Benchmark,107.2,17.41%,"$193,387","$203,989",-67.67%,"$593,984"
FRT,"$588,987",Benchmark,108.1,12.35%,"$104,636","$231,935",-80.54%,"$775,016"
FDX,"$386,840",Benchmark,140.0,12.1%,"$161,677","$190,524",-66.54%,"$556,420"
FIS,"$27,261",Benchmark,115.8,6.47%,"$15,790","$19,715",-66.45%,"$53,230"
FITB,"$2,441,673",Strategy,110.3,19.4%,"$628,212","$1,037,329",-78.15%,"$3,914,419"
FSLR,"$35,236",Strategy,171.9,11.07%,"$13,075","$15,486",-87.0%,"$53,024"
FE,"$36,734",Benchmark,128.7,7.5%,"$16,257","$19,396",-52.82%,"$44,446"
FI,"$1,256,620",Benchmark,92.1,20.43%,"$91,087","$239,699",-50.86%,"$1,377,636"
F,"$368,306",Benchmark,164.6,10.54%,"$237,063","$259,434",-87.02%,"$1,031,090"
FTNT,"$171,406",Benchmark,108.8,32.86%,"$36,006","$75,212",-49.89%,"$253,153"
FTV,"$10,520",Benchmark,100.8,0.85%,"$12,283","$12,283",-43.07%,"$15,142"
FOXA,"$9,098",Benchmark,137.8,-2.33%,"$6,159","$6,758",-51.07%,"$10,594"
FOX,"$15,022",Strategy,140.2,10.71%,"$9,827","$10,683",-42.28%,"$16,917"
BEN,"$56,718",Benchmark,131.0,6.39%,"$57,613","$55,602",-93.16%,"$113,833"
FCX,"$19,119",Benchmark,169.5,3.29%,"$14,078","$17,131",-80.99%,"$46,147"
GRMN,"$1,688,653",Strategy,119.2,37.79%,"$147,704","$332,774",-64.09%,"$2,196,349"
IT,"$54,285",Benchmark,112.0,8.39%,"$16,302","$20,176",-96.88%,"$69,572"
GE,"$586,373",Benchmark,121.4,9.93%,"$64,724","$135,418",-78.86%,"$662,936"
GEHC,"$9,941",Benchmark,132.0,-0.58%,"$11,714","$11,793",-29.62%,"$14,126"
GEHC,"$9,941",Benchmark,83.6,-0.37%,"$11,714","$11,793",-29.62%,"$14,126"
GEV,"$6,245",Benchmark,28.7,-49.16%,"$7,486","$7,830",-44.83%,"$11,168"
GEN,"$122,217",Benchmark,139.6,10.67%,"$48,371","$50,982",-89.89%,"$148,343"
GNRC,"$196,605",Strategy,103.3,33.02%,"$46,526","$107,443",-68.8%,"$468,735"
GD,"$16,027,372",Benchmark,122.4,18.43%,"$356,071","$2,441,413",-69.1%,"$20,194,306"
GIS,"$983,647",Benchmark,89.5,15.89%,"$243,079","$370,439",-41.07%,"$1,362,174"
GM,"$13,787",Benchmark,157.9,3.3%,"$14,115","$14,504",-56.24%,"$22,794"
GPC,"$288,328",Benchmark,106.4,11.41%,"$62,395","$114,182",-52.34%,"$567,381"
GILD,"$612,919",Benchmark,133.2,19.68%,"$124,875","$192,467",-67.18%,"$635,831"
GPN,"$171,494",Strategy,123.4,18.57%,"$36,001","$77,437",-50.55%,"$253,369"
GL,"$182,172",Benchmark,118.4,9.9%,"$31,686","$68,685",-71.43%,"$273,461"
GDDY,"$35,877",Benchmark,104.2,20.34%,"$19,164","$19,677",-46.8%,"$43,099"
GS,"$23,897",Benchmark,143.2,5.0%,"$9,042","$10,257",-79.26%,"$29,642"
HAL,"$505,074",Strategy,153.9,11.34%,"$70,920","$126,468",-83.37%,"$634,046"
HIG,"$294,653",Strategy,113.7,18.23%,"$36,404","$60,576",-73.89%,"$298,044"
HAS,"$2,747,485",Benchmark,126.6,19.78%,"$507,337","$926,447",-69.81%,"$3,799,136"
HCA,"$195,585",Benchmark,90.9,35.89%,"$53,809","$82,693",-33.23%,"$226,977"
DOC,"$321,398",Benchmark,106.6,13.44%,"$131,836","$162,468",-61.48%,"$549,683"
HSIC,"$48,211",Benchmark,111.9,8.07%,"$29,560","$35,952",-67.9%,"$80,228"
